id,lng,lat,depth,order
53820,-74.163385,40.5533181,21,55773
53821,-74.16434,40.5531965,8,48691
53822,-74.1652354,40.5530829,3,31580
53823,-74.1647859,40.5509353,1,23536
53824,-74.1737343,40.5571836,1,6809
53825,-74.1638615,40.5510561,4,36232
53826,-73.7230127,40.7247013,3,31581
53827,-74.1851207,40.5345183,6,45503
53828,-73.7550581,40.7135928,1,14421
53829,-73.7590342,40.7131934,1,8943
53830,-73.7589048,40.7134522,3,39496
53831,-74.1844807,40.5332329,1,3565
53832,-73.9679518,40.7595524,2,30045
53833,-73.9674619,40.7602266,1,23537
53834,-74.1791164,40.5375598,2,24882
53835,-74.1791742,40.5374993,4,40150
53836,-73.9295475,40.6976185,4,45504
53837,-74.1720185,40.5454694,2,17333
53838,-73.7367351,40.7260782,4,45188
53839,-73.737429,40.7275779,1,6810
53840,-74.16789,40.5529601,1,18431
53841,-74.1741271,40.5461355,6,47050
53842,-74.1736438,40.5461536,1,14422
53843,-74.1736884,40.5459102,2,18551
53844,-74.184314,40.5352786,1,3566
53845,-74.1593186,40.5394733,3,38779
53846,-74.1597534,40.5392351,2,6811
53847,-74.1597967,40.5392906,1,3567
53848,-74.159652,40.5391008,1,4018
53849,-74.1625926,40.5604099,2,24883
53850,-74.1622051,40.5604851,1,3568
53851,-74.2135578,40.5212367,3,36233
53852,-73.8168822,40.5864999,2,24271
53853,-73.8170807,40.5865626,1,22194
53854,-73.7627372,40.6670971,1,3569
53855,-73.9933667,40.7015716,1,14423
53856,-73.9385327,40.7405788,1,8944
53857,-73.9336625,40.7293527,1,3570
53858,-73.9343379,40.7310371,2,23538
53859,-73.9374794,40.7316052,1,3571
53860,-73.8653518,40.7688883,6,49006
53861,-73.9615722,40.7627226,1,13150
53862,-73.9253889,40.7315976,28,56308
53863,-73.8264232,40.7189249,1,18143
53864,-73.8263345,40.7199492,30,56391
53865,-73.9197344,40.8321546,4,38013
53866,-73.8660457,40.7711663,1,18144
53867,-73.8643879,40.7697571,4,45505
53868,-73.8764059,40.7724034,1,16183
53869,-73.945297,40.7469171,2,27851
53870,-73.8088325,40.6593381,3,36234
53871,-73.8088384,40.6591061,2,34173
53872,-74.1689496,40.539863,3,32960
53873,-74.1708675,40.5292217,1,3572
53874,-73.8995154,40.7540438,3,40770
53875,-73.8860548,40.7729589,2,14003
53876,-73.9553503,40.749587,1,3573
53877,-74.1631289,40.5925174,5,44123
53878,-73.8999625,40.7254531,1,14424
53879,-73.8998192,40.725272,2,18552
53880,-73.8760913,40.7703513,18,55395
53881,-73.8759827,40.7703408,2,38780
53882,-73.8759723,40.7704307,17,55381
53883,-73.9364984,40.7494021,4,42381
53884,-73.9378737,40.7497501,2,16487
53885,-73.937784,40.7498992,2,17334
53886,-74.0846686,40.6150328,1,14425
53887,-74.1373506,40.6349979,1,8945
53888,-73.9539784,40.7424713,2,26036
53889,-74.1417869,40.5545325,1,6812
53890,-74.1425961,40.5542211,1,3574
53891,-74.1403446,40.5555829,1,3575
53892,-74.1407357,40.555296,2,20352
53893,-73.9262859,40.6133788,1,8946
53894,-73.9004038,40.6573245,4,45506
53895,-73.9002856,40.6573506,1,13151
53896,-73.9612283,40.8158273,3,32961
53897,-73.938069,40.7495026,2,18553
53898,-73.8581634,40.8089488,4,39497
53899,-73.8665674,40.8351191,2,27219
53900,-74.0245584,40.641761,6,50015
53901,-73.836603,40.7576835,2,27852
